iso3_o,iso3_d,dist,contig,comlang_off,col_dep_ever
ARG,AUS,11823,0,0,0
ARG,AUT,11790,0,0,0
ARG,BRA,1675,1,0,0
ARG,CAN,8930,0,0,0
ARG,CHL,1138,1,1,0
ARG,CHN,19629,0,0,0
ARG,DEU,11889,0,0,0
ARG,DNK,12044,0,0,0
ARG,ESP,10022,0,1,1
ARG,FIN,12926,0,0,0
ARG,FRA,11026,0,0,0
ARG,GBR,11103,0,0,0
ARG,GRC,11673,0,0,0
ARG,HUN,11914,0,0,0
ARG,IDN,15230,0,0,0
ARG,IND,15799,0,0,0
ARG,IRL,10964,0,0,0
ARG,ITA,11131,0,0,0
ARG,JPN,18375,0,0,0
ARG,KOR,19433,0,0,0
ARG,MEX,7372,0,1,0
ARG,NLD,11422,0,0,0
ARG,NOR,12224,0,0,0
ARG,NZL,10374,0,0,0
ARG,PRT,9574,0,0,0
ARG,SWE,12539,0,0,0
ARG,TUR,12230,0,0,0
ARG,USA,8492,0,0,0
ARG,ZAF,8105,0,0,0
AUS,ARG,11823,0,0,0
AUS,AUT,15971,0,0,0
AUS,BRA,13377,0,0,0
AUS,CAN,15562,0,1,0
AUS,CHL,11370,0,0,0
AUS,CHN,7853,0,0,0
AUS,DEU,16088,0,0,0
AUS,DNK,16033,0,0,0
AUS,ESP,17688,0,0,0
AUS,FIN,15189,0,0,0
AUS,FRA,16958,0,0,0
AUS,GBR,16989,0,1,1
AUS,GRC,15322,0,0,0
AUS,HUN,15779,0,0,0
AUS,IDN,5495,0,0,0
AUS,IND,10418,0,1,0
AUS,IRL,17209,0,1,0
AUS,ITA,16322,0,0,0
AUS,JPN,7793,0,0,0
AUS,KOR,8297,0,0,0
AUS,MEX,12973,0,0,0
AUS,NLD,16638,0,0,0
AUS,NOR,15940,0,0,0
AUS,NZL,2161,0,1,0
AUS,PRT,18182,0,0,0
AUS,SWE,15586,0,0,0
AUS,TUR,14944,0,0,0
AUS,USA,15988,0,1,0
AUS,ZAF,11061,0,1,0
AUT,ARG,11790,0,0,0
AUT,AUS,15971,0,0,0
AUT,BRA,10119,0,0,0
AUT,CAN,6935,0,0,0
AUT,CHL,12489,0,0,0
AUT,CHN,8495,0,0,0
AUT,DEU,524,1,1,0
AUT,DNK,871,0,0,0
AUT,ESP,1813,0,0,0
AUT,FIN,1441,0,0,0
AUT,FRA,1037,0,0,0
AUT,GBR,1239,0,0,0
AUT,GRC,1286,0,0,0
AUT,HUN,215,1,0,0
AUT,IDN,10555,0,0,0
AUT,IND,5572,0,0,0
AUT,IRL,1686,0,0,0
AUT,ITA,765,1,0,0
AUT,JPN,9150,0,0,0
AUT,KOR,8296,0,0,0
AUT,MEX,10169,0,0,0
AUT,NLD,939,0,0,0
AUT,NOR,1353,0,0,0
AUT,NZL,17852,0,0,0
AUT,PRT,2303,0,0,0
AUT,SWE,1243,0,0,0
AUT,TUR,1276,0,0,0
AUT,USA,6814,0,0,0
AUT,ZAF,8323,0,0,0
BRA,ARG,1675,1,0,0
BRA,AUS,13377,0,0,0
BRA,AUT,10119,0,0,0
BRA,CAN,8164,0,0,0
BRA,CHL,2586,0,0,0
BRA,CHN,18570,0,0,0
BRA,DEU,10232,0,0,0
BRA,DNK,10402,0,0,0
BRA,ESP,8361,0,0,0
BRA,FIN,11287,0,0,0
BRA,FRA,9378,0,0,0
BRA,GBR,9473,0,0,0
BRA,GRC,10014,0,0,0
BRA,HUN,10241,0,0,0
BRA,IDN,15642,0,0,0
BRA,IND,14435,0,0,0
BRA,IRL,9365,0,0,0
BRA,ITA,9457,0,0,0
BRA,JPN,18530,0,0,0
BRA,KOR,18338,0,0,0
BRA,MEX,7422,0,0,0
BRA,NLD,9782,0,0,0
BRA,NOR,10610,0,0,0
BRA,NZL,12039,0,0,0
BRA,PRT,7924,0,1,1
BRA,SWE,10906,0,0,0
BRA,TUR,10569,0,0,0
BRA,USA,7658,0,0,0
BRA,ZAF,7442,0,0,0
CAN,ARG,8930,0,0,0
CAN,AUS,15562,0,1,0
CAN,AUT,6935,0,0,0
CAN,BRA,8164,0,0,0
CAN,CHL,8590,0,0,0
CAN,CHN,11441,0,0,0
CAN,DEU,6493,0,0,0
CAN,DNK,6266,0,0,0
CAN,ESP,6052,0,0,0
CAN,FIN,6616,0,0,0
CAN,FRA,6017,0,1,1
CAN,GBR,5728,0,1,1
CAN,GRC,8119,0,0,0
CAN,HUN,7142,0,0,0
CAN,IDN,15806,0,0,0
CAN,IND,11646,0,1,0
CAN,IRL,5266,0,1,0
CAN,ITA,7099,0,0,0
CAN,JPN,10367,0,0,0
CAN,KOR,10620,0,0,0
CAN,MEX,3260,0,0,0
CAN,NLD,5997,0,0,0
CAN,NOR,5951,0,0,0
CAN,NZL,13878,0,1,0
CAN,PRT,5741,0,0,0
CAN,SWE,6344,0,0,0
CAN,TUR,8211,0,0,0
CAN,USA,556,1,1,0
CAN,ZAF,13335,0,1,0
CHL,ARG,1138,1,1,0
CHL,AUS,11370,0,0,0
CHL,AUT,12489,0,0,0
CHL,BRA,2586,0,0,0
CHL,CAN,8590,0,0,0
CHL,CHN,18861,0,0,0
CHL,DEU,12507,0,0,0
CHL,DNK,12608,0,0,0
CHL,ESP,10681,0,1,1
CHL,FIN,13464,0,0,0
CHL,FRA,11627,0,0,0
CHL,GBR,11650,0,0,0
CHL,GRC,12546,0,0,0
CHL,HUN,12637,0,0,0
CHL,IDN,15606,0,0,0
CHL,IND,16927,0,0,0
CHL,IRL,11442,0,0,0
CHL,ITA,11892,0,0,0
CHL,JPN,17242,0,0,0
CHL,KOR,18364,0,0,0
CHL,MEX,6589,0,1,0
CHL,NLD,11991,0,0,0
CHL,NOR,12709,0,0,0
CHL,NZL,9690,0,0,0
CHL,PRT,10205,0,0,0
CHL,SWE,13067,0,0,0
CHL,TUR,13091,0,0,0
CHL,USA,8220,0,0,0
CHL,ZAF,9192,0,0,0
CHN,ARG,19629,0,0,0
CHN,AUS,7853,0,0,0
CHN,AUT,8495,0,0,0
CHN,BRA,18570,0,0,0
CHN,CAN,11441,0,0,0
CHN,CHL,18861,0,0,0
CHN,DEU,8415,0,0,0
CHN,DNK,8271,0,0,0
CHN,ESP,10277,0,0,0
CHN,FIN,7392,0,0,0
CHN,FRA,9284,0,0,0
CHN,GBR,9217,0,0,0
CHN,GRC,8558,0,0,0
CHN,HUN,8364,0,0,0
CHN,IDN,4425,0,0,0
CHN,IND,4252,1,0,0
CHN,IRL,9368,0,0,0
CHN,ITA,9138,0,0,0
CHN,JPN,1763,0,0,0
CHN,KOR,867,0,0,0
CHN,MEX,12928,0,0,0
CHN,NLD,8894,0,0,0
CHN,NOR,8105,0,0,0
CHN,NZL,9361,0,0,0
CHN,PRT,10732,0,0,0
CHN,SWE,7782,0,0,0
CHN,TUR,8004,0,0,0
