sector,theta,beta2,se_b2,p_b2,delta_eps
Agriculture,9.11,-0.038172,0.054516,0.483802,0.3446
Mining,13.53,-0.331525,0.061386,0.000000,2.9931
Food,2.62,-0.038561,0.041040,0.347428,0.3481
Textile,8.10,-0.052082,0.062071,0.401432,0.4702
Wood,11.50,-0.028922,0.069453,0.677093,0.2611
Paper,16.52,-0.120827,0.036563,0.000951,1.0909
Petroleum,64.85,0.092549,0.073323,0.206877,0.8356
Chemicals,3.13,-0.057898,0.028753,0.044048,0.5227
Plastic,1.67,-0.090940,0.047864,0.057434,0.8210
Minerals,2.41,-0.061069,0.034428,0.076094,0.5513
Basic metals,3.28,-0.138479,0.035486,0.000095,1.2502
Metal products,6.99,-0.024003,0.042177,0.569280,0.2167
Machinery nec,1.45,-0.018330,0.035636,0.606985,0.1655
Office,12.95,0.030580,0.056387,0.587592,0.2761
Electrical,12.91,-0.072670,0.041803,0.082141,0.6561
Communication,3.95,0.029252,0.044856,0.514319,0.2641
Medical,8.71,-0.021556,0.031449,0.493066,0.1946
Auto,8.22,-0.151721,0.060380,0.011979,1.3698
Other Transport,8.22,0.020890,0.060227,0.728703,0.1886
Other Manuf,3.98,0.168554,0.056707,0.002955,1.5217
