hs2,n_obs,eps_pool,beta2,se_b2,p_b2,Delta_eps,bnd_ek,bnd_mel,sig5,sig10
7,744,1.4533875,-.25068617,.044467725,1.7255090e-08,2.3693395,.64653063,.44484398,1,1
3,704,.72551298,.30118856,.053814139,2.1830717e-08,2.8466587,.77677852,1.0706611,1,1
12,776,.86597645,.43988866,.080038138,3.8852946e-08,4.1575708,1.1344922,1.3100728,1,1
93,662,.3199144,.50444645,.096832655,1.8938427e-07,4.7677341,1.3009896,4.0666804,1,1
42,796,.3069832,.22235157,.044005148,4.3525785e-07,2.1015372,.57345444,1.868032,1,1
80,625,.85664803,-.28945231,.062045064,3.0832455e-06,2.7357345,.74651027,.87143171,1,1
95,792,.84100264,.21123356,.04804318,.000010988691,1.9964564,.54478061,.64777517,1,1
23,730,.9761892,.21461132,.051400881,.000029766412,2.0283811,.55349207,.56699258,1,1
15,790,1.0342337,.23233244,.057758026,.000057580346,2.1958709,.5991956,.57936186,1,1
67,692,.87891245,.44938242,.11501442,.000093378316,4.2473006,1.158977,1.3186489,1,1
11,756,1.3185349,-.17554523,.047040697,.00019013634,1.6591512,.45273885,.3433651,1,1
9,787,.91463065,.17390773,.050033819,.0005093253,1.6436745,.44851568,.49037901,1,1
26,699,1.4077096,-.1824238,.052629158,.00052784773,1.7241634,.47047901,.33421597,1,1
46,637,.82450503,.32071382,.095146887,.00074971147,3.0312002,.82713503,1.0031898,1,1
52,742,.75041032,.22572716,.070339203,.0013314055,2.1334414,.58216029,.77578926,1,1
6,652,1.3396869,-.14369069,.044943098,.0013878348,1.3580806,.37058461,.2766203,1,1
79,715,1.2843599,-.17562145,.05643338,.0018581577,1.6598716,.45293546,.35265461,1,1
4,713,1.4592854,-.1139816,.037719905,.0025128545,1.0772877,.29396355,.20144351,1,1
44,801,.95824379,.17718102,.05886459,.0026126807,1.6746117,.45695764,.47686991,1,1
10,694,1.2795303,.2100607,.069863535,.0026407524,1.9853712,.5417558,.42340207,1,1
8,752,1.5372453,-.18954468,.063545726,.0028561743,1.7914659,.48884407,.31800005,1,1
49,801,1.0037725,.20882519,.070500515,.0030561031,1.973694,.53856933,.53654522,1,1
66,659,1.1722668,.17144388,.058129273,.0031843768,1.6203876,.44216129,.37718487,1,1
